trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch
157,0.00016,0.2,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
158,0.00016,0.2,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
159,0.00032,0.2,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
160,0.00032,0.2,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
161,0.00032,0.2,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
162,0.00004,0.35,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
163,0.00004,0.35,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
164,0.00004,0.35,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
165,0.00008,0.35,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
166,0.00008,0.35,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
167,0.00008,0.35,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
168,0.00016,0.35,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
169,0.00016,0.35,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
170,0.00016,0.35,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
171,0.00032,0.35,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
172,0.00032,0.35,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
173,0.00032,0.35,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
174,0.00004,0.5,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
